Date Time,Week,Net Peaking Capability (MW),Peak Load (MW),MOM,TUE,WED,THU,FRI,SAT,SUN
20220322,2,33580,30977,,,,,,,
20220323,3,33885,31318,,,,,,,
20220324,4,33609,31098,,,,,,,
20220325,5,33527,30121,,,,,,,
20220326,6,31259,27822,,,,,,,
20220327,7,29926,26196,,,,,,,
20220328,1,31464,27337,,,,,,,
20220329,2,,,,,,,,,
20220330,3,,,,,,,,,
20220331,4,,,,,,,,,
20220401,5,,,,,,,,,
20220402,6,,,,,,,,,
20220403,7,,,,,,,,,
20220404,3,,,,,,,,,
20220405,4,,,,,,,,,
20220406,3,,,,,,,,,
20220407,4,,,,,,,,,
20220408,5,,,,,,,,,
20220409,6,,,,,,,,,
20220410,7,,,,,,,,,
20220411,3,,,,,,,,,
20220412,4,,,,,,,,,
20220413,3,,,,,,,,,
